Dim,	ArraySize(KB),	Row-Major Time,	RM Sample,	Col-Major Time,	CM Sample,	Diff
    5,	          0,	0.000000477,	       2,	 0.000000477,	        2,	0.000000000
   10,	          0,	0.000000477,	       2,	 0.000000477,	        2,	0.000000000
   25,	          2,	0.000001192,	     114,	 0.000002146,	       22,	0.000000954
   50,	          9,	0.000003099,	     735,	 0.000005960,	      896,	0.000002861
   75,	         21,	0.000006676,	    1034,	 0.000012159,	      551,	0.000005484
  100,	         39,	0.000010014,	    5474,	 0.000020504,	     5766,	0.000010490
  150,	         87,	0.000023365,	     413,	 0.000045061,	      367,	0.000021696
  200,	        156,	0.000039339,	   28544,	 0.000082731,	      518,	0.000043392
  250,	        244,	0.000061989,	    1080,	 0.000127554,	      804,	0.000065565
  300,	        351,	0.000095367,	   44460,	 0.000232220,	      864,	0.000136852
  400,	        625,	0.000165224,	    6400,	 0.000143766,	    62971,	-0.000021458
  500,	        976,	0.000085831,	    7916,	 0.000213623,	    76166,	0.000127792
  750,	       2197,	0.000203371,	     850,	 0.000786066,	    16789,	0.000582695
 1000,	       3906,	0.000380039,	  443701,	 0.001558542,	   153053,	0.001178503
 2000,	      15625,	0.001464605,	 3285368,	 0.006115913,	  2148875,	0.004651308
 5000,	      97656,	0.008935690,	15035404,	 0.041233063,	 18812177,	0.032297373
10000,	     390625,	0.036279678,	15794189,	 0.230574131,	 13503371,	0.194294453
20000,	    1562500,	0.143177509,	18243515,	 1.536632299,	 31540927,	1.393454790
30000,	    3515625,	0.322322369,	94081292,	 2.566803217,	 52621379,	2.244480848